0x0004b460 設定を変更することができます。
0x0004c6c4 得意技は風の爪。
0x0004c6dc ある。
0x0004c6f4 が面倒見のいい一面も
0x0004c70c 負けず嫌いで荒っぽい
0x0004c724 器用な一面を見せる。
0x0004c73c 鬼の爪を組合せて戦う
0x0004c754 もらい、後の戦いでは
0x0004c76c 陽炎に魔導具・風神を
0x0004c784 といつも戦っている。
0x0004c79c 格闘好きで烈火や土門
0x0004c7b4 幼なじみの女子高生。
0x0004c7cc （きりさわふうこ）
0x0004c7e4 霧沢風子
0x0004c7fc 変化が現れる。
0x0004c814 しさを悟り、少しずつ
0x0004c82c だけに生きる人生の空
0x0004c844 ちとの戦いの中、復讐
0x0004c85c いを続けるが、烈火た
0x0004c874 閻水を武器に復讐の戦
0x0004c88c 姉の形見である魔導具
0x0004c8a4 非常に冷徹に見える。
0x0004c8bc 復讐に生きるためか
0x0004c8d4 幼少の頃、姉を殺され
0x0004c8ec 通う高校生。
0x0004c904 烈火らと同じ学校に
0x0004c91c （みかがみときや）
0x0004c934 水鏡凍季也
0x0004c94c となる。
0x0004c964 優れた魔導具の使い手
0x0004c97c 六の型を完成させ更に
0x0004c994 にも引けをとらず幻の
0x0004c9ac 戦闘能力は、他の仲間
0x0004c9c4 鋼金暗器を使う。その
0x0004c9dc 五つの型を持つ魔導具
0x0004c9f4 行動を共にする。
0x0004ca0c 一員となり烈火たちと
0x0004ca24 確かめるため、火影の
0x0004ca3c 紅麗の裏切りの真意を
0x0004ca54 麗の元一員。
0x0004ca6c 紅麗率いる暗殺集団・
0x0004ca84 （こがねいかおる）
0x0004ca9c 小金井薫
0x0004cab4 する。
0x0004cacc 力は烈火の炎をも圧倒
0x0004cae4 取り込んでおり、その
0x0004cafc 自らの炎の戦士として
0x0004cb14 された最愛の人・紅を
0x0004cb2c 森光蘭の手によって殺
0x0004cb44 長として仕えている。
0x0004cb5c 近衛部隊・麗を従える
0x0004cb74 て捕られているため、
0x0004cb8c の母・月乃を人質とし
0x0004cba4 また、森光蘭に、育て
0x0004cbbc つづけている。
0x0004cbd4 れが原因で烈火を恨み
0x0004cbec 子として虐げられ、そ
0x0004cc04 火影忍軍たちに悪魔の
0x0004cc1c まれたことから周りの
0x0004cc34 正室・陽炎に烈火が生
0x0004cc4c 側室の子であった彼は
0x0004cc64 生き延びている。
0x0004cc7c まぎれこみ、現代に
0x0004cc94 空流離で送られた際に
0x0004ccac 烈火が陽炎の秘術・時
0x0004ccc4 孫。烈火の異母兄弟。
0x0004ccdc 首・桜花と側室・麗奈
0x0004ccf4 （くれい）
0x0004cd0c 紅麗
0x0004cd24 べ。
0x0004cd3c 森光蘭の忠実なるしも
0x0004cd54 を操ることができる。
0x0004cd6c 烈火、紅麗と同じく炎
0x0004cd84 子をもつクローン。
0x0004cd9c された紅麗と紅の遺伝
0x0004cdb4 森光蘭によって生み出
0x0004cdcc （れんげ）
0x0004cde4 煉華
0x0004cdfc を行う。
0x0004ce14 戦う使命感のみで戦闘
0x0004ce2c の座を与えられた彼は
0x0004ce44 を受け、裏麗・死四天
0x0004ce5c 地獄のような戦闘教育
0x0004ce74 ままに操り戦う。
0x0004ce8c らの血液・魔血を意の
0x0004cea4 合して、生成される自
0x0004cebc 生体魔導具・血種と融
0x0004ced4 通称、不死身の蛭湖。
0x0004ceec 裏麗・死四天の一人。
0x0004cf04 （ひるこ）
0x0004cf1c 蛭湖
0x0004cf34 る。
0x0004cf4c 様々な攻撃を生み出せ
0x0004cf64 組み合わせることで、
0x0004cf7c と異なり手甲の門構と
0x0004cf94 魔導具・無名は他の物
0x0004cfac ている。
0x0004cfc4 くパワーも人間離れし
0x0004cfdc 体がとてつもなく大き
0x0004cff4 して烈火たちを狙う。
0x0004d00c らは森光蘭の部隊と
0x0004d024 紅麗が追放にあってか
0x0004d03c 裏麗の一員。
0x0004d054 麗の内部用暗殺部隊・
0x0004d06c （かどつ）
0x0004d084 門都
0x0004d09c こなっている。
0x0004d0b4 奥地で融合の準備をお
0x0004d0cc を誘拐し、ＳＯＤＯＭ
0x0004d0e4 柳を取り込むべく彼女
0x0004d0fc に治癒の少女・佐古下
0x0004d114 光蘭は完全体となる為
0x0004d12c 天堂地獄と融合した森
0x0004d144 となった。
0x0004d15c し強大な力を持つ存在
0x0004d174 め、森光蘭自身と融合
0x0004d18c の手によって再び目覚
0x0004d1a4 満たそうとする森光蘭
0x0004d1bc たが、あらゆる欲望を
0x0004d1d4 は長い間封印されてい
0x0004d1ec 危険視された天堂地獄
0x0004d204 込められている。
0x0004d21c り海魔自身の魂が封じ
0x0004d234 具が「天堂地獄」であ
0x0004d24c た火影忍軍最強の魔導
0x0004d264 その海魔が最後に造っ
0x0004d27c 導具として造られた。
0x0004d294 魔導具、殺すだけの魔
0x0004d2ac それぞれ、生かす為の
0x0004d2c4 空と海魔の２人により
0x0004d2dc 火影忍軍の魔導具は虚
0x0004d2f4 （もりこうらん）
0x0004d30c 森光蘭
0x0004d324 することができない。
0x0004d33c 未知の相手の技は真似
0x0004d354 すら真似てしまうが、
0x0004d36c うことで烈火の八竜で
0x0004d384 意。魔導具・偽火を使
0x0004d39c 手の技を真似るのが得
0x0004d3b4 忍法・鏡地獄で対戦相
0x0004d3cc （かしゃまる）
0x0004d3e4 火車丸
0x0004d3fc を見せる。
0x0004d414 対し異様なまでの執着
0x0004d42c 利己的で残虐。烈火に
0x0004d444 使い。
0x0004d45c の根を武器とする植物
0x0004d474 を使い、体内に飼う木
0x0004d48c する木の魔導具・木霊
0x0004d4a4 木火土金水の五行に属
0x0004d4bc き男、木霊の木蓮。
0x0004d4d4 麗の一員。通称、仁無
0x0004d4ec （もくれん）
0x0004d504 木蓮
0x0004d51c できるほど強力。
0x0004d534 ＯＭの建物を楽に破壊
0x0004d54c し、その威力はＳＯＤ
0x0004d564 る無数の魔弾を武器と
0x0004d57c 巨大な身体から放たれ
0x0004d594 生物。
0x0004d5ac によって操られる謎の
0x0004d5c4 キリトの魔導具・涅槃
0x0004d5dc （しぐま）
0x0004d5f4 死愚魔
0x0004d60c 男性である。
0x0004d624 どだがれっきとした
0x0004d63c で女の子に見間違うほ
0x0004d654 見た目は凄くきゃしゃ
0x0004d66c ことができない。
0x0004d684 持病のため長時間戦う
0x0004d69c 格闘集団・空の一員。
0x0004d6b4 に命を吹き込んで戦う
0x0004d6cc 魔導具・式紙を使い紙
0x0004d6e4 （さいちょう）
0x0004d6fc 最澄
0x0004d714 いる。
0x0004d72c 捕らわれの身となって
0x0004d744 れ、ＳＯＤＯＭ奥地に
0x0004d75c 森光蘭によってさらわ
0x0004d774 の力との融合を狙う
0x0004d78c 完全体になる為、治癒
0x0004d7a4 桜姫の生まれ変わり。
0x0004d7bc 桜花に守られた沢木家
0x0004d7d4 年前、火影忍軍党首・
0x0004d7ec 治癒の力を持ち、四百
0x0004d804 なる。
0x0004d81c 呼ばれ守られるように
0x0004d834 ら同級生の烈火に姫と
0x0004d84c 女子高生。あることか
0x0004d864 （さこしたやなぎ）
0x0004d87c 佐古下柳
0x0004d894 を与える。
0x0004d8ac を見通して烈火に試練
0x0004d8c4 て流れた紅麗との戦い
0x0004d8dc 同じく時空流離によっ
0x0004d8f4 で再び烈火に出会うが
0x0004d90c 四百年が経過した現代
0x0004d924 いによって不死の身と
0x0004d93c 送るが、その秘術の呪
0x0004d954 離を使い烈火を現代へ
0x0004d96c 滅ぶ際に秘術・時空流
0x0004d984 四百年前、火影忍軍が
0x0004d99c 正妻。烈火の母。
0x0004d9b4 火影忍軍党首・桜花の
0x0004d9cc （かげろう）
0x0004d9e4 陽炎
0x0004d9fc を施す。
0x0004da14 マインドコントロール
0x0004da2c い誘拐した佐古下柳に
0x0004da44 魔導具・神慮思考を使
0x0004da5c プレックスを感じてい
0x0004da74 失敗作と呼ばれ、コン
0x0004da8c 炎を操ることができず
0x0004daa4 子をもつクローンだが
0x0004dabc （あおい）
0x0004dad4 葵
0x0004daec 誓い仕えている。
0x0004db04 てくれる紅麗に忠誠を
0x0004db1c 筋を恥じ、それを認め
0x0004db34 子孫であり、自らの血
0x0004db4c さに逃げ延びた火影の
0x0004db64 滅ぶ際に、我が身可愛
0x0004db7c ４００年前火影忍軍が
0x0004db94 風神の核を渡す。
0x0004dbac うことを決意。風子に
0x0004dbc4 を守るために雷神を使
0x0004dbdc 核を使っていたが紅麗
0x0004dbf4 えるため雷覇は風神の
0x0004dc0c そのあまりの強さを抑
0x0004dc24 神。
0x0004dc3c 雷覇の持つ魔導具・雷
0x0004dc54 麗の一員で紅麗の忍。
0x0004dc6c （らいは）
0x0004dc84 雷覇
0x0004dc9c ドバイスを与える。
0x0004dcb4 れ烈火たちに様々なア
0x0004dccc に謎のジジィとして現
0x0004dce4 な力によって現実世界
0x0004dcfc スーパーでワンダホー
0x0004dd14 異なり、本人いわく、
0x0004dd2c 他の封印された火竜と
0x0004dd44 となっている。
0x0004dd5c 士の為に力を貸す存在
0x0004dd74 を晴らしてくれる炎術
0x0004dd8c 竜となり、その無念さ
0x0004dda4 遂げられぬ想いから火
0x0004ddbc 忍者であり各忍の成し
0x0004ddd4 一匹。元は火影忍軍の
0x0004ddec 烈火の中に潜む火竜の
0x0004de04 （こくう）
0x0004de1c 虚空
0x0004de34 存在となる。
0x0004de4c 面で力を貸してくれる
0x0004de64 関係が生まれ様々な場
0x0004de7c 火影との対戦後、信頼
0x0004de94 撃で人格が一変する。
0x0004deac るものの、三度目の攻
0x0004dec4 の攻撃には平穏で耐え
0x0004dedc ばれ対戦者の二度まで
0x0004def4 通称、仏の空海とも呼
0x0004df0c 仏の顔も三度まで。
0x0004df24 い肉体派。
0x0004df3c 。魔導具などは使わな
0x0004df54 格闘集団・空の師範代
0x0004df6c （くうかい）
0x0004df84 空海
0x0004df9c 喋る。
0x0004dfb4 わった人物。関西弁を
0x0004dfcc 共にすることもある変
0x0004dfe4 時に烈火たちと行動を
0x0004dffc でいる。
0x0004e014 独自のスタイルを歩ん
0x0004e02c 何ものにも縛られない
0x0004e044 自由を愛し麗の中でも
0x0004e05c を巧みに使う強者。
0x0004e074 釈廻天を使い重力変化
0x0004e08c 麗の一員。魔導具・帝
0x0004e0a4 （じょーかー）
0x0004e0bc ジョーカー
0x0004e0d4 操作する。
0x0004e0ec 涅槃を使って死愚魔を
0x0004e104 もうひとつの魔導具・
0x0004e11c 光蘭の誘いに乗り手下
0x0004e134 それを知る恐怖から森
0x0004e14c 当の姿を忘れてしまい
0x0004e164 共に変化する自分の本
0x0004e17c させるが、精神・肉体
0x0004e194 らの年齢を自在に変化
0x0004e1ac 魔導具・輪廻により自
0x0004e1c4 （きりと）
0x0004e1dc キリト
0x0004e1f4 する卑劣な女戦士。
0x0004e20c 残虐非道な戦いを主に
0x0004e224 魔導具・魅虚斗を使い
0x0004e23c 魔導具・毒魔針と人型
0x0004e254 麗の一員。
0x0004e26c （みこと）
0x0004e284 命
0x0004e29c くことをひどく嫌って
0x0004e2b4 で自らの身体に傷がつ
0x0004e2cc 学力をひけらかし戦い
0x0004e2e4 ストな美少年。
0x0004e2fc つを使いこなすナルシ
0x0004e314 魔導具・海月と朧の二
0x0004e32c （つきしろ）
0x0004e344 月白
0x0004e35c な場面で戦いを共にす
0x0004e374 に信頼が生まれ、様々
0x0004e38c 以来、烈火たちとの仲
0x0004e3a4 風子との対戦で敗れて
0x0004e3bc ・土蜘蛛の使い手。
0x0004e3d4 る魔元紗の弟で魔導具
0x0004e3ec 同じく裏麗の一員であ
0x0004e404 （がしゃくら）
0x0004e41c 餓紗喰
0x0004e434 サウンドテストの終了
0x0004e458 データの　　保存に　　　失敗しました
0x0004e480 　初期化に　成功しました
0x0004e4a8 本当に初期化しますか？
0x0004e4d0 オプションの終了
0x0004e4f0 サウンドテスト
0x0004e510 データの初期化をします
0x0004e530 フィールド選択の設定
0x0004e550 ルール設定
0x0004e570 ハンディキャップ有無の設定
0x0004e590 柳２：いつまでも・・・
0x0004e5a8 柳１：烈火君

0x0004e630 烈火の炎
0x0004e63c 死愚魔：断末魔
0x0004e64c 死愚魔：勝利
0x0004e65c 死愚魔：やられ
0x0004e66c 死愚魔：超必殺技
0x0004e680 死愚魔：通常攻撃
0x0004e694 森光蘭：掛声／やらせるか
0x0004e6b0 森光蘭：やられ２
0x0004e6c4 森光蘭：カットイン
0x0004e6d8 森光蘭：やられ１
0x0004e6ec 森光蘭：超必殺技
0x0004e700 森光蘭：必殺技３
0x0004e714 森光蘭：必殺技２
0x0004e728 森光蘭：必殺技１
0x0004e73c 森光蘭：遠距離攻撃
0x0004e750 木　蓮：掛声／ひゃっひゃっ！
0x0004e770 木　蓮：やられ２
0x0004e784 木　蓮：カットイン
0x0004e798 木　蓮：やられ１
0x0004e7ac 木　蓮：超必殺技
0x0004e7c0 木　蓮：必殺技３
0x0004e7d4 木　蓮：必殺技２
0x0004e7e8 木　蓮：必殺技１
0x0004e7fc 木　蓮：遠距離攻撃
0x0004e810 煉　華：掛声／やらせないよ！
0x0004e830 煉　華：やられ３
0x0004e844 煉　華：やられ２
0x0004e858 煉　華：カットイン
0x0004e86c 煉　華：やられ１
0x0004e880 煉　華：超必殺技
0x0004e894 煉　華：必殺技３
0x0004e8a8 煉　華：必殺技２
0x0004e8bc 煉　華：必殺技１
0x0004e8d0 煉　華：コンボ
0x0004e8e0 煉　華：投げ攻撃
0x0004e8f4 煉　華：遠距離攻撃
0x0004e908 煉　華：近距離攻撃
0x0004e91c 門　都：掛声／狩る！
0x0004e934 門　都：やられ３
0x0004e948 門　都：やられ２
0x0004e95c 門　都：カットイン
0x0004e970 門　都：やられ１
0x0004e984 門　都：超必殺技
0x0004e998 門　都：必殺技３
0x0004e9ac 門　都：必殺技２
0x0004e9c0 門　都：必殺技１
0x0004e9d4 門　都：コンボ
0x0004e9e4 門　都：投げ攻撃
0x0004e9f8 門　都：遠距離攻撃
0x0004ea0c 門　都：近距離攻撃
0x0004ea20 蛭　湖：掛声／血塊弾
0x0004ea38 蛭　湖：やられ３
0x0004ea4c 蛭　湖：やられ２
0x0004ea60 蛭　湖：カットイン
0x0004ea74 蛭　湖：やられ１
0x0004ea88 蛭　湖：超必殺技
0x0004ea9c 蛭　湖：必殺技３
0x0004eab0 蛭　湖：必殺技２
0x0004eac4 蛭　湖：必殺技１
0x0004ead8 蛭　湖：コンボ
0x0004eae8 蛭　湖：投げ攻撃
0x0004eafc 蛭　湖：遠距離攻撃
0x0004eb10 蛭　湖：近距離攻撃
0x0004eb24 紅　麗：掛声／五月蝿い！
0x0004eb40 紅　麗：やられ３
0x0004eb54 紅　麗：やられ２
0x0004eb68 紅　麗：カットイン
0x0004eb7c 紅　麗：やられ１
0x0004eb90 紅　麗：超必殺技
0x0004eba4 紅　麗：必殺技３
0x0004ebb8 紅　麗：必殺技２
0x0004ebcc 紅　麗：必殺技１
0x0004ebe0 紅　麗：コンボ
0x0004ebf0 紅　麗：投げ攻撃
0x0004ec04 紅　麗：遠距離攻撃
0x0004ec18 紅　麗：近距離攻撃
0x0004ec2c 小金井：掛声／いくよ！
0x0004ec44 小金井：やられ３
0x0004ec58 小金井：やられ２
0x0004ec6c 小金井：カットイン
0x0004ec80 小金井：やられ１
0x0004ec94 小金井：超必殺技
0x0004eca8 小金井：必殺技３
0x0004ecbc 小金井：必殺技２
0x0004ecd0 小金井：必殺技１
0x0004ece4 小金井：コンボ
0x0004ecf4 小金井：投げ攻撃
0x0004ed08 小金井：遠距離攻撃
0x0004ed1c 小金井：近距離攻撃
0x0004ed30 水　鏡：掛声／たわけ
0x0004ed48 水　鏡：やられ３
0x0004ed5c 水　鏡：やられ２
0x0004ed70 水　鏡：カットイン
0x0004ed84 水　鏡：やられ１
0x0004ed98 水　鏡：超必殺技
0x0004edac 水　鏡：必殺技３
0x0004edc0 水　鏡：必殺技２
0x0004edd4 水　鏡：必殺技１
0x0004ede8 水　鏡：コンボ
0x0004edf8 水　鏡：遠距離攻撃
0x0004ee0c 水　鏡：近距離攻撃
0x0004ee20 風　子：掛声／エルボー！
0x0004ee3c 風　子：やられ３
0x0004ee50 風　子：やられ２
0x0004ee64 風　子：カットイン
0x0004ee78 風　子：やられ１
0x0004ee8c 風　子：超必殺技
0x0004eea0 風　子：必殺技３
0x0004eeb4 風　子：必殺技２
0x0004eec8 風　子：必殺技１
0x0004eedc 風　子：コンボ
0x0004eeec 風　子：投げ攻撃
0x0004ef00 風　子：遠距離攻撃
0x0004ef14 風　子：近距離攻撃
0x0004ef28 土　門：掛声／嘴
0x0004ef3c 土　門：やられ３
0x0004ef50 土　門：やられ２
0x0004ef64 土　門：カットイン
0x0004ef78 土　門：やられ１
0x0004ef8c 土　門：超必殺技
0x0004efa0 土　門：必殺技３
0x0004efb4 土　門：必殺技２
0x0004efc8 土　門：必殺技１
0x0004efdc 土　門：コンボ
0x0004efec 土　門：投げ攻撃
0x0004f000 土　門：遠距離攻撃
0x0004f014 土　門：近距離攻撃
0x0004f028 烈　火：掛声／姫！
0x0004f03c 烈　火：掛声／崩
0x0004f050 烈　火：やられ３
0x0004f064 烈　火：やられ２
0x0004f078 烈　火：カットイン
0x0004f08c 烈　火：やられ１
0x0004f0a0 烈　火：超必殺技
0x0004f0b4 烈　火：必殺技４
0x0004f0c8 烈　火：必殺技３
0x0004f0dc 烈　火：必殺技２
0x0004f0f0 烈　火：必殺技１
0x0004f104 烈　火：コンボ
0x0004f114 烈　火：投げ攻撃
0x0004f128 烈　火：遠距離攻撃
0x0004f13c 烈　火：近距離攻撃
0x0004f150 木　蓮：水から飛び出す
0x0004f168 木　蓮：水に入る
0x0004f17c 門　都：遠距離攻撃Ａ
0x0004f194 蛭　湖：遠距離攻撃Ａ
0x0004f1ac 紅　麗：遠距離攻撃Ａ
0x0004f1c4 小金井：遠距離攻撃Ａ
0x0004f1dc 水　鏡：遠距離攻撃Ａ
0x0004f1f4 風　子：遠距離攻撃Ａ
0x0004f20c 土　門：遠距離攻撃Ａ
0x0004f224 土　門：投げ
0x0004f234 烈　火：遠距離攻撃Ａ
0x0004f24c 気合溜めオフ
0x0004f25c 気合溜め
0x0004f268 ダウン軽
0x0004f274 ダウン普通
0x0004f280 ダウン重
0x0004f28c 風切り音：強Ｃ
0x0004f29c 風切り音：強Ｂ
0x0004f2ac 風切り音：強Ａ
0x0004f2bc 風切り音：中Ｃ
0x0004f2cc 風切り音：中Ｂ
0x0004f2dc 風切り音：中Ａ
0x0004f2ec 風切り音：弱Ｃ
0x0004f2fc 風切り音：弱Ｂ
0x0004f30c 風切り音：弱Ａ
0x0004f31c ダメージ：斬／強Ｃ
0x0004f330 ダメージ：斬／強Ｂ
0x0004f344 ダメージ：斬／強Ａ
0x0004f358 ダメージ：斬／中Ｃ
0x0004f36c ダメージ：斬／中Ｂ
0x0004f380 ダメージ：斬／中Ａ
0x0004f394 ダメージ：斬／弱Ｃ
0x0004f3a8 ダメージ：斬／弱Ｂ
0x0004f3bc ダメージ：斬／弱Ａ
0x0004f3d0 ダメージ：打／強Ｃ
0x0004f3e4 ダメージ：打／強Ｂ
0x0004f3f8 ダメージ：打／強Ａ
0x0004f40c ダメージ：打／中Ｃ
0x0004f420 ダメージ：打／中Ｂ
0x0004f434 ダメージ：打／中Ａ
0x0004f448 ダメージ：打／弱Ｃ
0x0004f45c ダメージ：打／弱Ｂ
0x0004f470 ダメージ：打／弱Ａ
0x0004f484 ガード　：斬／強
0x0004f498 ガード　：斬／中
0x0004f4ac ガード　：斬／弱
0x0004f4c0 ガード　：打／強
0x0004f4d4 ガード　：打／中
0x0004f4e8 ガード　：打／弱
0x0004f4fc 着地音
0x0004f504 ジャンプ音
0x0004f510 ゲートオープン
0x0004f520 ソドム崩壊音終了
0x0004f534 ソドム崩壊
0x0004f540 森光蘭倒れる
0x0004f550 ポーズ音
0x0004f55c メッセージ送り音
0x0004f570 はい／いいえ
0x0004f580 切り替え音
0x0004f58c 選択不可警告
0x0004f59c 選択音
0x0004f5a4 キャンセル音
0x0004f5b4 決定音
0x0004f5bc スタート音
0x0004f5c8 ＣＯＮＴＩＮＵＥカウント音
0x0004f5e4 Ｖ．Ｓ．音
0x0004f5f0 タイトル表示
0x0004f600 麗のテーマ
0x0004f60c 姫救出
0x0004f614 必殺技ゲット
0x0004f624 怒り爆発
0x0004f630 ＳＲ：姫のヒメゴト忍者のユウキ
0x0004f650 森光蘭のテーマ２
0x0004f664 ゲームオーバーＧＯＯＤ
0x0004f67c 死四天のテーマ
0x0004f68c オープニング
0x0004f69c 火影のテーマ
0x0004f6ac ＢＧＭ：不吉
0x0004f6bc 張り合い
0x0004f6c8 敗北デモ２
0x0004f6d4 敗北デモ１
0x0004f6e0 勝利デモ４
0x0004f6ec 勝利デモ３
0x0004f6f8 勝利デモ２
0x0004f704 勝利デモ１
0x0004f710 森光蘭のテーマ１
0x0004f724 モード
0x0004f72c ゲームオーバーＢＡＤ
0x0004f744 ＢＧＭ：悲しみ
0x0004f754 小金井のテーマ
0x0004f764 死愚魔のテーマ
0x0004f774 蛭湖のテーマ
0x0004f784 煉華のテーマ
0x0004f794 紅麗のテーマ
0x0004f7a4 門都のテーマ
0x0004f7b4 木蓮のテーマ
0x0004f7c4 土門のテーマ
0x0004f7d4 最澄のテーマ
0x0004f7e4 家族団欒
0x0004f7f0 水鏡のテーマ
0x0004f800 風子のテーマ
0x0004f810 烈火のテーマ
0x0004f820 ＢＧＭオフ
0x0004f89c データの保存に失敗しました
0x0004f8b8 セーブデータが異常です
0x0004f8cf 初期化します・・・

0x0077a35c なんだろう…
この感じ…
0x0077a375 烈火…%T7く…ん…
0x0077a387 ごめんね。
柳ちゃん……。
0x0077a3a2 姫が連れ去られちまった！
このままじゃ、姫が危ねぇ！
助けに行くぜ！！
0x0077a3e9 まぁ、待て！！
今のお主では、森光蘭に
到底、かなうまい！！
0x0077a426 邪魔するな！　ジジィ！
時間がねぇんだ！
0x0077a44f 落ち着くのじゃ！　烈火！
奴が人を取り込むまでには
まだ時間がある！
0x0077a494 三日間、時間があります。
それまでにみんな、
覚悟を決めてきて下さい。
0x0077a4db おう！
0x0077a69e ここがＳＯＤＯＭよ！
柳ちゃんは、この先の
タワーに捕まっているわ。
0x0077a6e3 結局、全員来ちまうなんて
おめーらバカだべ？
0x0077a710 バカでケッコーだよ、
バカ大将！
0x0077a731 さっ！
柳ちゃんを
助けにいくよ！！
0x0077a756 あそこに姫が…！
