
0x0061063d ゲームの設定が出来る場所だよ。
0x00610e15 　十ツ星神器　魔王　
0x00610e35 　レベル２　回帰　
0x00610e7d 　女子に好かれる才　
0x00610e9d 　　　瞬発の才　　　
0x00610ebd 　　くじ引きの才　　
0x00610edd 　　　勉強の才　　　
0x00610efd 　　　泳ぎの才　　　
0x00610f1d 　　　早食いの才　　
0x00610f3d 　　　走りの才　　　
0x00610f5d 　動物に好かれる才　
0x00610f7d 　　　模写の才　　　
0x00610f9d 　　　物探しの才　　
0x00610fbd 　　　命中の才　　　
0x00610fdd 　　　応援の才　　　
0x00610ffd 　　つっこみの才　　
0x0061101d 　　　踊りの才　　　
0x0061103d 　　おしゃれの才　　
0x0061105d 　　　人マネの才　　
0x0061107d 　　　掃除の才　　　
0x0061109d 　　　速読の才　　　
0x006110bd 　　特殊メイクの才　
0x006110dd 　　お金儲けの才　
0x006110f9 　　財宝発掘の才　　
0x00611119 　　　記憶の才　　　
0x00611139 　　　バク転の才　　
0x00611159 再会の才（空白の才）
0x006111d9 男の子なら誰もがうらやむ才。
0x006111f6 一歩外へ踏み出せば、そこには映画の
0x00611219 様なロマンスあふれること間違いない。
0x00611249 一瞬にして最高の力を発揮できる才。
0x0061126c 反復横とびなら１分間に２００回は堅く
0x00611291 角界からのスカウトは間違いない。
0x006112bd あらゆるくじでいい結果を残せる才。
0x006112e0 この才を持っているのなら、嫌なことは
0x00611305 全てくじ引きで決めてしまおう。
0x00611331 たいした努力をせずとも勉強の内容が
0x00611354 頭に入って来る才。
0x00611367 記憶の才もあれば定期テストは完璧だ！
0x00611399 荒波にも負けることなく泳ぎきれる才。
0x006113be どんな大型台風が襲ってきても
0x006113db 海水浴を楽しめるようなタフな才。
0x00611409 大量の料理も、一瞬で食べきることの
0x0061142c できる、場合によっては便利な才。
0x0061144d また、早食いに水を必要としない。
0x00611479 走ることに関しては誰にも負けない人に
0x0061149e なれる可能性のある才。この才を持って
0x006114c3 努力を怠らなければ、世界でも狙える。
0x006114f5 あらゆる動物に好かれる才。
0x00611510 頭には鳥、首にはフェレット、足元には
0x00611535 猫が自然と集まってくる才。
0x0061155d 見たものをそのまま描き写せる才。この
0x00611582 才を持って絵画を模写すれば、どんな
0x006115a5 目利きもコピーであることを見抜けない
0x006115d5 たとえ１００万個のビーズの中でも、
0x006115f8 たった一つの目的のビーズを一瞬にして
0x0061161d 探し当ててしまう様なとんでもない才。
0x0061164d 狙ったものを射止める事ができる才。
0x00611670 この才は使い方によって様々な分野で
0x00611693 成功を収められる汎用性の高い才。
0x006116c1 他人の応援が上手になるお節介な才。
0x006116e4 仲間の後ろで最高の応援をし、１００％
0x00611709 以上の力を発揮させる事も出来る！
0x00611735 ありとあらゆるボケを見逃さず、どんな
0x0061175a 小さな笑いでも爆笑に変えてしまうこと
0x0061177f ができる才。
0x00611799 わずかな時間でどんなダンスもマスター
0x006117be してしまう才。調子に乗っていると
0x006117df プライドの高いお嬢様に嫌われる。
0x0061180d あらゆる時代と地域を意識したおしゃれ
0x00611832 さんになれるが、おしゃれすぎて、
0x00611853 凡人には理解されないこともある。
0x00611881 どんな人間の特徴も瞬時に読み取り、
0x006118a4 それを即座に自分のものに出来る才。
0x006118c7 若手芸人は喉から手が出るほど欲しい。
0x006118f9 汚れた場所を元の状態より美しく掃除
0x0061191c できる才。この才を持つ者の通った後は
0x00611941 チリひとつ残ることなく清められる。
0x00611971 本を読むスピードがとても速くなる才。
0x00611996 １０分もあればコンビニに並ぶ雑誌程度
0x006119bb なら全て読みきることが出来る。
0x006119e5 映画の撮影やスパイ活動に便利な才。
0x00611a08 ちょっと気分を変えたいときなどにも
0x00611a2b 自分の顔をがらりと変えて楽しめる。
0x00611a59 金儲けのアイデアがどんどん溢れる才。
0x00611a7e 女子に好かれる才を併せ持つ事が
0x00611a9d 出来れば人生の勝ち組間違いなし。
0x00611ac9 世界中のトレジャーハンターが欲しがる
0x00611aee 才。誰も発見できなかった財宝も
0x00611b0d 軽い気持ちで庭を掘れば見つかるかも。
0x00611b3d 一度見たものを確実に
0x00611b52 記憶しておくことができる才。
0x00611b6f 勉強の才と併用することがオススメ。
0x00611b9d とにかく美しくバク転が出来る才。
0x00611bbe どんな近くでマシンガンに撃たれても
0x00611be1 華麗なバク転で全て回避できてしまう。
0x00611c11 本人の望む再会を確実に果たせる才。
0x00611c34 うえきが勝ち取った空白の才に書き込み
0x00611c59 手に入れた才。
0x00611cd5 　　　植木　耕助　　
0x00611cf5 　　　森　あい　　　
0x00611d15 　　　　佐野　　　　
0x00611d35 　　　　鈴子　　　　
0x00611d55 　　　　テンコ　　　
0x00611d75 　　　コバセン　　　
0x00611d95 　　　アレッシオ　　
0x00611db5 　　　　ドン　　　　
0x00611dd5 　　　　マルコ　　　
0x00611df5 　　　　明神　　　　
0x00611e15 　　カルパッチョ　　
0x00611e35 　　　ロベルト　　　
0x00611e55 　　　カプーショ　　
0x00611e75 　　　　グラノ　　　
0x00611e95 　　　　李崩　　　　
0x00611eb5 　　　マリリン　　　
0x00611ed5 　　　　バロウ　　　
0x00611ef5 　　　　アノン　　　
0x00611f5d 火野国中学１年Ｃ組
0x00611f70 能力：自分でゴミと認識したものを
0x00611f91 　　　木に変える能力
0x00611fb1 火野国中学１年Ｃ組
0x00611fc4 植木の同級生。
0x00611fd3 能力：メガネ好きに変える能力
0x00611ffd 稲穂中学３年生
0x0061200c 能力：息を止めている間、手拭を
0x0061202b 　　　鉄に変える能力
0x0061204d 中学３年生
0x00612058 元ロベルト十団
0x00612067 能力：ビーズを爆弾に変える能力
0x00612091 ６８７３１３歳（人間の１７歳）
0x006120b0 天界力を計る『十の瞳』と
0x006120c9 腹の中に覚醒臓器を持つ天界獣。
0x006120f5 火野国中学の先生
0x00612106 年齢３２歳
0x00612111 神候補の一人で植木に能力を与えた。
0x00612141 中学３年生
0x0061214c ロベルト十団の一員
0x0061215f 能力：土を大鎌に変える能力
0x00612185 中学３年生
0x00612190 ロベルト十団の一員
0x006121a3 能力：指輪をロケットに変える能力
0x006121d1 中学３年生
0x006121dc ロベルト十団の一員
0x006121ef 能力：トマトをマグマに変える能力
0x0061221d 邪馬台中学１年生
0x0061222e 能力：メンコを丸ノコに変える能力
0x0061224f 　　　口笛をレーザーに変える能力
0x0061227d 中学３年生
0x00612288 ロベルト十団参謀司令
0x0061229d 能力：他人の能力をコピーする能力
0x006122c9 十ツ星天界人
0x006122d6 ロベルト十団を率いるリーダー
0x006122f3 能力：理想を現実に変える能力
0x0061231d 中学１年生
0x00612328 ２次選考カプーショチームリーダー
0x00612349 能力：自分の声を冷凍ガスに変える能力
0x00612379 中学３年生
0x00612384 ２次選考グラノチームリーダー
0x006123a1 能力：オブジェを実物に変える能力
0x006123cd 中学３年生
0x006123d8 自分を鍛える為、体術のみで戦う
0x006123f7 能力：髪の毛をこん棒に変える能力
0x00612425 中学２年生
0x00612430 ２次選考マリリンチームリーダー
0x0061244f 能力：１秒を１０秒に変える能力
0x00612479 中学１年生　八ツ星天界人
0x00612492 バロウチームリーダー
0x006124a7 能力：過去の映像を現実に変える能力
0x006124d5 地獄人アノン
0x006124e2 『守人』一族のまつえい
0x006124f9 能力：取り込んだ者の能力を使える能力
0x00612571 ミニゲーム「不惑」が選べるように
0x00612592 なりました。
0x006125a9 ミニゲーム「把握力」が選べるように
0x006125cc なりました。
0x006125e5 ミニゲーム「バランス」が選べるように
0x0061260a なりました。
0x00612621 ミニゲーム「渾身」が選べるように
0x00612642 なりました。
0x00612669 　チャレンジモードが
0x0061267e 選べるようになりました。
0x006126a5 　　サウンドテストが
0x006126ba 　　　出現しました。
0x006126d1 難易度「むずかしい」が
0x006126e8 選べるようになりました。
0x0061270d エンディングがコレクション
0x00612728 に追加されました。
0x00612745 　　エンディング
0x00612839 　？？？？？？？？　
0x00613178 　　　　　　　　　　　　　　　　　　　
0x006131a0 わたし森あい。
0x006131af 平凡な中学生活を送っていたのに
0x006131ce クラスメイトの「植木耕助」って
0x006131ed 変な奴が、次の神様を決める
0x00613208 選ばれし中学生のバトルに
0x00613221 参加することになったの。
0x00613240 植木を選んだ
0x0061324d 神候補のコバセンによると
0x00613266 バトルに勝った中学生担当の神候補が
0x00613289 次の神様になることが出来るんだって。
0x006132b0 そのバトルに参加してからは
0x006132cb 優勝賞品の好きな才能が手に入る
0x006132ea 「空白の才」を狙って
0x006132ff 強力な能力者達が
0x00613310 植木を襲ってくるようになって……
0x00613334 って、言ってる間にも
0x00613349 また強そうなのが来ちゃったわよ〜。
0x0061336c ちょっと　植木
0x0061337b どうすんのよ〜。
0x00613391 −　森あい　−
0x006133a0 いい！？
0x006133a9 とにかく勝つのよ、植木！
0x006133c5 −　植木　−
0x006133d2 勝つかどうかなんて、
0x006133e7 やってみなきゃわかんねぇだろ。
0x00613409 −　森あい　−
0x00613418 相手の能力は分かってないから
0x00613435 ここは先手必勝よ。
0x0061344d −　李崩　−
0x0061345a ……能力。
0x00613465 必要ないね。
0x00613472 私には、この体があるよ。
0x0061348d −　李崩　−
0x0061349a この勝負、私の負けある。
0x006134b5 −　植木　−
0x006134c2 まだ、勝負ついてないっぽいぞ。
0x006134e1 ほら、かかって…
0x006134f5 −　森あい　−
0x00613504 よけいなこと言うな！！
0x0061351b 相手が帰るって言ってんのに
0x00613536 引き止めてどーすんのよー！
0x00613555 −　李崩　−
0x00613562 （……植木耕助。
0x00613573 　また会うときまで負けるなよ！）
0x00613599 街で知り合った妙な能力者ＢＪと
0x006135b8 友達になっちゃった植木。
0x006135d1 男の友情はいいねー
0x006135e4 なんて言ってる暇もなく、
0x006135fd 最強の能力者「ロベルト」に
0x00613618 ＢＪがやられちゃった。
0x0061362f 植木は敵討ちしたいみたいだけど
0x0061364e コバセンは危険だから行くなって
0x0061366d 言ってるし……
0x0061367d とかなんとか言ってる間に、植木！
0x0061369e アンタどこ行くのよーーー！！
0x006136c1 −　ロベルト　−
0x006136d2 君、植木くん？
0x006136e1 初めましてだね。
0x006136f2 ロベルトって言います。
0x0061370d −　植木　−
0x0061371a お前か…？
0x00613725 ＢＪやったの。
0x00613739 −　ロベルト　−
0x0061374a そうだよ。
0x00613755 あんまりあっさりやられたから
0x00613772 面白くなかったけどね。
0x0061378d −　森あい　−
0x006137a3 植木の奴が本気で怒ってる…
0x006137c1 −　ロベルト　−
0x006137d2 なぁんだ…
0x006137dd 君もこの程度か。
0x006137ee さようなら　植木くん。
0x00613809 −　植木　−
0x0061381d −　コバセン　−
0x0061382e お前はバカか！
0x0061383d ロベルトには
0x0061384a 手ェ出すなっつっただろうが！
0x00613869 −　植木　−
0x00613876 コバセン！！
0x00613885 −　コバセン　−
0x00613896 まあ、お前がバカなら
0x006138ab オレは大バカ様か…
0x006138c1 −　コバセン　−
0x006138d2 神候補は、いかなる場合も
0x006138eb バトル中の手助けを禁ずる。
0x00613906 これをやぶれば「地獄行き」だ！
0x00613929 −　コバセン　−
0x0061393a 植木！　もうこんなバトルやめちまえ！
0x0061395f お前の好きなように生きろ！
0x0061397a お前の人生だ！
0x0061398d −　ロベルト　−
0x0061399e フフフ。
0x006139a7 「バトルをやめちまえ」だって？
0x006139c9 −　ロベルト　−
0x006139da 言われなくても、
0x006139eb 君は消えてしまうんだよね。
0x00613a06 あの世は、きっと楽しいよ。
0x00613a25 −　コバセン　−
0x00613a36 そうか…
0x00613a41 −　コバセン　−
0x00613a52 なら、お前も来い。
0x00613a69 −　ロベルト　−
0x00613a7a な……！？
0x00613a89 −　ロベルト　−
0x00613a9a ああああぁああぁぁあ！！！
0x00613ab9 −　植木　−
0x00613ac6 ………………
0x00613ad5 −　森あい　−
0x00613ae4 こ……コバセン？
0x00613af9 −　植木　−
0x00613b0d −　森あい　−
0x00613b1c （これで全部終わったんだよね？
0x00613b3b 　コバセン…もうあんな戦い
0x00613b56 　やめちゃっていいんだよね？）
0x00613b79 −　森あい　−
0x00613b88 （これでやっと普通の毎日に戻れる
0x00613ba9 　この時…
0x00613bb4 　わたしはそう信じていた…）
0x00613bd5 バトルが終わったと思ったのに
0x00613bf2 ロベルトが生きてることがわかって、
0x00613c15 奴をぶっ倒す！
0x00613c24 って感じで
0x00613c2f 植木は、ロベルト十団というグループと
0x00613c54 バトルを始めちゃったの。
0x00613c6d そして十団の能力者「アレッシオ」と
0x00613c90 対決することになったんだけど、
0x00613caf 全然実力が違って超負けそー
0x00613cca ってところに、
0x00613cd9 でっかーい化け物が現れて
0x00613cf2 植木は「天界人」で「神器」と呼ばれる
0x00613d17 強力な能力が使えるなんて言い出したの。
0x00613d45 アンタ、変な奴だ変な奴だと思ってたけど
0x00613d6c 人間じゃなかったのねー！！
0x00613d8d −　アレッシオ　−
0x00613da0 これでテメェもおしまいだ！
0x00613dbb じゃあ死ね！！
0x00613dcd −　テンコ　−
0x00613ddc 「オレは天界人だ！」って言ってみな。
0x00613e05 −　テンコ　−
0x00613e14 自覚するコト。
0x00613e23 そうすりゃ一ツ星の
0x00613e36 天界人の力が使えるようになる。
0x00613e59 −　植木　−
0x00613e66 オレは……
0x00613e75 −　植木　−
0x00613e82 天界人だ！！！
0x00613e95 −　テンコ　−
0x00613eab おとなしくオレのエサになりやがれ！
0x00613ed1 −　植木　−
0x00613ede 天丼おごるから。
0x00613eef それじゃダメか？
0x00613f05 −　テンコ　−
0x00613f1d −　テンコ　−
0x00613f2c （約束をアッサリやぶりやがった！
0x00613f4d 　やっぱ天界人はクズだ！！！）
0x00613f71 −　植木　−
0x00613f7e これからも力を貸して欲しいんだ！
0x00613f9f たのむ！
0x00613fa8 お前が必要なんだ！！！
0x00613fc1 −　テンコ　−
0x00613fd0 くっくっくっく！
0x00613fe1 ばかめ！！
0x00613fec なら遠慮なく喰わせてもらうぜ！！！
0x00614011 −　テンコ　−
0x00614020 その天丼ってのをな！！
0x00614039 −　テンコ　−
0x00614048 言っとくがオレはグルメなんだ。
0x00614067 マズかったら承知しねーぞ！
0x00614085 テンコに食われなくて良かったね、植木。
0x006140b3 ホッとしてる場合じゃないよ〜。
0x006140d2 ロベルト十団にはアレッシオ以外にも
0x006140f5 強敵がたくさんいるんだから、
0x00614112 ここはジックリと
0x00614123 状況を見極めて行きなさいよ！
0x00614147 言ってる間にまたバトルかよ！
0x00614164 ちっとは人の話を聞け〜
0x00614181 −　植木　−
0x0061418e スゴイパワーだな
0x006141a1 −　ドン　−
0x006141ae 当たり前だろうが！！
0x006141c3 オレがロベルトを優勝へ導く！
0x006141e0 このパワー１つでな！！
0x006141f9 −　植木　−
0x00614206 ロベルトのためのパワー……
0x00614225 −　植木　−
0x00614232 そんなの
0x0061423b 認めるわけにいかねぇー！！
0x00614259 −　テンコ　−
0x00614268 コースケ！
0x00614273 そんな体でどこ行く気だ！？
0x00614291 −　植木　−
0x0061429e 十団の集会所に戻る…
0x006142b5 −　テンコ　−
0x006142c4 バカヤロー！！
0x006142d3 てめぇ２人ぶっ続けで戦ったんだ！
0x006142f4 最低３日は休まねーと回復しねーぞ！
0x00614319 −　植木　−
0x00614326 テンコ…
0x0061432f オレは、あいつらから逃げる様な
0x0061434e マネだけはしたくない！　絶対に…
0x00614371 バトルで傷ついた植木に
0x00614388 新たな刺客が襲って来た〜！
0x006143a3 敵は「マルコ」と「鈴子」の２人組！！
0x006143cf １人であんなに苦戦してたのに
0x006143ec ２人も相手できるの〜！？
0x0061440d −　マルコ　−
0x0061441c お前を軽く料理することにするか！
0x00614441 −　テンコ　−
0x00614450 勝つぞ、コースケ！！
0x00614469 −　植木　−
0x00614476 もち！！！
0x00614485 −　鈴子　−
0x00614492 マルコ…
0x0061449b 私も手伝いますわ。
0x006144b1 −　鈴子　−
0x006144be いや〜ん、カワユイですわ？
0x006144dd −　鈴子　−
0x006144ea テンコちゃんって言うの？
0x00614503 名前もカワイー！
0x00614519 −　テンコ　−
0x00614528 コ、コースケ！
0x00614539 −　テンコ　−
0x00614548 今からでもコイツ
0x00614559 仲間にするのをやめねーか。
0x00614579 −　植木　−
0x0061458d −　鈴子　−
0x0061459a 植木くん！？
0x006145a8 いけない！
0x006145b3 意識を失ってますわ！！
0x006145cd −　テンコ　−
0x006145dc くそっ！
0x006145e5 やっぱり限界だったんじゃねーかよ！！
0x0061460d 植木！！
0x00614616 あんた大丈夫なの！？
0x0061462b ロベルト十団との激闘で
0x00614642 深手を負った植木は、
0x00614657 テンコの治療獣で体を回復することに。
0x0061467c でも、そこに明神たちが襲ってきたから
0x006146a1 さあ大変。
0x006146ac 植木に勇気をもらって仲間になった
0x006146cd 鈴子ちゃんとテンコは
0x006146e2 植木を護っていたんだけど
0x006146fb 集中攻撃を受けちゃって大ピンチ！
0x00614723 早く起きなさいよー！
0x00614741 −　植木　−
0x0061474e 治ったー！
0x0061475d −　テンコ　−
0x0061476c へ…あとは頼んだぜ…
0x0061478d −　明神　−
0x0061479a やっとお出ましッスね。
0x006147b5 −　植木　−
0x006147c9 −　植木　−
0x006147d6 お前が鈴子とテンコを
0x006147eb あそこまで傷つけたのか…
0x00614809 −　植木　−
0x0061481d お前だけは絶対許さない！！！
0x0061483d −　明神　−
0x0061484a 勝てるッスかね？
0x0061485b ２つの能力をもらった
0x00614870 このオイラに！！
0x00614885 −　植木　−
0x00614892 テンコ…鈴子…ゴメンな。
0x006148ab オレが治療獣に入ってたせいで
0x006148c8 ひどいケガさせちまった…
0x006148e5 −　鈴子　−
0x006148f2 違いますわ、植木くん！
0x00614909 このケガは
0x00614914 私の力不足のせいで…
0x0061492d −　植木　−
0x00614941 お前らのおかげで勝てた！
0x0061495a ありがとな。
0x00614969 −　森あい　−
0x00614978 植木ー、やっと見つけた！
0x00614995 −　植木　−
0x006149a2 も、森！？
0x006149b1 −　森あい　−
0x006149c0 あんた佐野清一郎っておぼえてる？
0x006149e5 −　森あい　−
0x006149f4 あの佐野が
0x006149ff 大変なことになってんのよ！
0x00614a1d なんですってー！
0x00614a2e 「佐野清一郎」担当の神候補「犬丸」から
0x00614a55 佐野がロベルト十団に入ったと
0x00614a72 聞かされた私たちはビックリ仰天！
0x00614a93 佐野を助けに
0x00614aa0 ドグラマンションに来た私たちは
0x00614abf 残るロベルト十団と戦うことに…
0x00614ade 佐野は私たちと戦う気みたいなんだけど、
0x00614b05 どうも理由がありそうなのよね…
0x00614b2d −　植木　−
0x00614b3a くそ、佐野とは戦いたくねえ。
0x00614b57 なんとか佐野と引き分ける方法は
0x00614b76 ねーのか？
0x00614b85 −　佐野　−
0x00614b92 （すまんな植木。引き分けやと犬丸に
0x00614bb5 　仕掛けられたデスペンタゴンで
0x00614bd4 　犬丸が死んでしまうんや。）
0x00614bf5 −　佐野　−
0x00614c02 お前とは１度戦いたかったんや！！
0x00614c23 こっちは本気でいかしてもらうで！！！
0x00614c4d −　植木　−
0x00614c5a しかたねえ…
0x00614c69 −　植木　−
0x00614c76 犬のおっさん！！
0x00614c89 −　佐野　−
0x00614c96 なんで「さらば」やねん。犬丸…
0x00614cb9 −　カルパッチョ　−
0x00614cce ひゃーひゃっひゃっひゃっ！
0x00614ced −　カルパッチョ　−
0x00614d02 佐野やどうでもいいヤツらのために
0x00614d23 自分で地獄に落ちるなんて
0x00614d3c 犬丸はホンモノのアホだべ！
0x00614d59 −　カルパッチョ　−
0x00614d6e こんなことで神の座を
0x00614d83 ボウにふるヤツがいるとは
0x00614d9c ユメにもおもわんかったわ！
0x00614db9 −　植木　−
0x00614dc6 友情を道具みたいに扱いやがって…
0x00614de7 カルパッチョ、お前マジで許せねえ！！
0x00614e11 私たちを助けるために
0x00614e26 地獄落ちになってしまった犬丸。
0x00614e45 佐野と犬丸を利用したカルパッチョに
0x00614e68 植木は戦いを挑んだの。
0x00614e86 そんな卑怯な奴に負けたら
0x00614e9f 許さないわよ！！
0x00614eb9 −　カルパッチョ　−
0x00614ece オレの能力は
0x00614edb 他人の能力をコピーする能力！　そして
0x00614f00 すでに十団の能力はコピー済みだべ！
0x00614f25 −　カルパッチョ　−
0x00614f3a つまりオレは
0x00614f47 ロベルト以外の能力者には
0x00614f60 絶対に負けねえ能力者なんだよ！
0x00614f81 −　佐野　−
0x00614f8e ば…バカな…
0x00614f9d −　植木　−
0x00614faa だから、なんだ！
0x00614fbb オレは絶対に負けねえ！！
0x00614fd9 −　森あい　−
0x00614fe8 植木が勝ったー！
0x00614ffd −　植木　−
0x0061500a 反省しろよ、カルパッチョ。
0x00615029 −　佐野　−
0x00615036 植木、ありがとうな！
0x0061504d −　植木　−
0x0061505a …ロベルト。
0x00615067 約束は覚えてるだろうな？
0x00615085 −　ロベルト　−
0x00615096 ああ、たしか君が勝ったら、
0x006150b1 願いを聞いてあげる約束だったね。
0x006150d2 何でも言ってごらん。
0x006150e9 −　植木　−
0x006150f6 隠れてないで今すぐ出てこい！
0x00615113 今すぐオレと勝負しろ！！！
0x00615131 なに！　ロベルトの非情さは
0x0061514c 悲しい過去が原因ですって！？
0x00615169 自分の能力のせいで
0x0061517c 周りのみんなから
0x0061518d バケモノ扱いされてたなんて悲しすぎる…
0x006151b4 でも、だからといって
0x006151c9 人間を滅ぼそうとするなんて
0x006151e4 間違ってるわよ！
0x006151fc ビシッとロベルトの目を
0x00615213 覚ましてやりなさいよ。
0x00615231 −　ロベルト　−
0x00615242 人間の正義なんて怖いものにフタをする
0x00615267 ための言い訳だ。
0x0061527d −　ロベルト　−
0x0061528e だから僕が人間たちの化けの皮を
0x006152ad はがしてやるんだ。
0x006152c0 究極の恐怖でね！！！
0x006152d9 −　植木　−
0x006152e6 悲しすぎるだろ…そんなコトしても
0x00615307 お前、幸せじゃねえよ。
0x00615321 −　植木　−
0x0061532e 勝負だ！！！
0x0061533b お前は俺が止めてみせる！
0x00615359 −　ロベルト　−
0x0061536a 植木君、僕はやっぱり人間の正義なんて
0x0061538f 認めない。
0x0061539a でも…コレは認めてあげる…
0x006153b9 −　ロベルト　−
0x006153ca 君は、僕が全力をぶつけて戦う価値の
0x006153ed ある男だ！
0x006153fd −　ロベルト　−
0x0061540e でも今回、君が僕と互角に戦えたのは
0x00615431 僕が七ツ星以上の神器を使わなかった
0x00615454 おかげだ。
0x00615461 −　ロベルト　−
0x00615472 だから…
0x0061547b 次に会うときはもっと強くなって来い！
0x006154a5 −　植木　−
0x006154b9 −　植木　−
0x006154c6 ああ！！
0x006154d1 大変！！
0x006154da やっと改心しかけたロベルトを
0x006154f7 アノンって奴が吸収しちゃったの。
0x00615518 二次選考でアノンを倒すため、
0x00615535 「ヒデヨシ」って能力者を
0x0061554e 仲間にするためにでかけた
0x00615567 私たちを待っていたのは、
0x00615580 子供を人質に
0x0061558d ヒデヨシを仲間にしようとする能力者
0x006155b0 「カプーショ」だった。
0x006155c7 カプーショが襲ってきたときに
0x006155e4 植木はいないし…
0x006155f5 まったく！なにやってんのよ〜！
0x0061561d −　森あい　−
0x00615633 アンタ　今まで何やってたのよ！
0x00615655 −　植木　−
0x00615662 ドリル男の穴に落っこちて
0x0061567b 出れんかった
0x00615688 スマン。
0x00615695 −　カプーショ　−
0x006156a8 なるほどね。
0x006156b5 キミが植木くんか。
0x006156cd −　植木　−
0x006156da 関係のない子供たちにまで、
0x006156f5 こんなヒデェことするなんて
0x00615710 絶対許さねえ！！
0x00615725 −　カプーショ　−
0x00615738 天界人のキミといえども、
0x00615751 ボクのレベル２に
0x00615762 勝てるかな。
0x00615771 −　森あい　−
0x00615780 ヒデヨシが仲間になってくれて
0x0061579d よかったわよね。
0x006157ae さあ、二次選考勝ち抜くわよ。
0x006157cd −　植木　−
0x006157e5 −　森あい　−
0x006157f4 優勝してコバセンと犬丸助けるわよ！
0x00615819 −　植木　−
0x00615826 おう！！
0x00615831 私たちが二次選考で最初に当たったのは、
0x00615858 グラノチームだったの。
0x0061586f なんとかみんなのチームワークで、
0x00615890 ほとんどのメンバーは倒したんだけど、
0x006158b5 最後に残ったのは模型（オブジェ）を
0x006158d8 実物に変える「グラノ」。
0x006158f1 あいつ、なんか
0x00615900 切り札がありそうな気がするのよね〜
0x00615929 −　グラノ　−
0x00615938 やはり模型こそ最高のオブジェ！！
0x00615959 この最高のロボのオブジェで
0x00615974 始末するっしょ！！
0x00615989 −　森あい　−
0x00615998 う、植木〜〜！
0x006159a7 こ、こんなのと、
0x006159b8 どう戦うつもりなのよーーーーー！！
0x006159dd −　植木　−
0x006159ea ま…まずい。
0x006159f7 森！　早くどっかに隠れろ！
0x00615a15 −　森あい　−
0x00615a24 ガンバッテネー！！
0x00615a39 −　植木　−
0x00615a46 早っ！！
0x00615a51 −　グラノ　−
0x00615a60 なんで…勝てない…
0x00615a73 模型がオブジェなのは正義っしょ…
0x00615a99 −　植木　−
0x00615aa6 んなわけねーだろ。
0x00615abd −　森あい　−
0x00615acc ほら、次の戦い行くわよー！
0x00615ae9 −　森あい　−
0x00615af8 ファイト、オー！
0x00615b0d −　植木　−
0x00615b1a 敵を倒した途端に強気になったな、森…
0x00615b41 三次選考に出ていたカプーショチームを
0x00615b66 ５分で破った次の対戦相手は
0x00615b81 マリリンチーム。
0x00615b92 ひえー、あんなチームに
0x00615ba9 どうやって勝てっていうのよ〜
0x00615bc6 植木はのんきに構えてるみたいだけど
